,Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Trasmission,Price,Gov
5462,Hyundai,Accent,Sedan,Gray,2008,Benzine,160000 to 179999,1600 CC,Manual,145.0,Cairo
5463,Hyundai,Accent,Sedan,White,2006,Benzine,180000 to 199999,1000 - 1300 CC,Manual,60.0,Cairo
5464,Hyundai,Accent,Sedan,Burgundy,1998,Benzine,20000 to 29999,1000 - 1300 CC,Manual,62.0,Giza
5465,Hyundai,Accent,Sedan,Other Color,2008,Benzine,120000 to 139999,1600 CC,Manual,130.0,Qalyubia
5466,Hyundai,Accent,Sedan,Other Color,2009,Benzine,140000 to 159999,1600 CC,Manual,143.0,Cairo
5467,Hyundai,Accent,Sedan,Other Color,1998,Benzine,0 to 9999,1600 CC,Manual,45.0,Cairo
5468,Hyundai,Accent,Sedan,Silver,2006,Benzine,20000 to 29999,1000 - 1300 CC,Manual,120.0,Cairo
5469,Hyundai,Accent,Sedan,Other Color,1999,Benzine,10000 to 19999,1400 - 1500 CC,Manual,55.0,Ismailia
5470,Hyundai,Accent,Sedan,Yellow,1998,Natural Gas,More than 200000,1400 - 1500 CC,Manual,48.0,Ismailia
5471,Hyundai,Accent,Sedan,Gray,2021,Benzine,10000 to 19999,1600 CC,Automatic,316.0,Cairo
5472,Hyundai,Accent,Sedan,Blue- Navy Blue,2011,Benzine,30000 to 39999,1600 CC,Automatic,157.0,Cairo
5473,Hyundai,Accent,Sedan,Burgundy,2003,Benzine,0 to 9999,1000 - 1300 CC,Manual,42.0,Giza
5474,Hyundai,Accent,Sedan,White,1999,Benzine,140000 to 159999,1400 - 1500 CC,Manual,79.0,Giza
5475,Hyundai,Accent,Sedan,Gray,2021,Benzine,70000 to 79999,1400 - 1500 CC,Automatic,300.0,Cairo
5476,Hyundai,Accent,Sedan,White,1999,Benzine,180000 to 199999,1000 - 1300 CC,Manual,58.0,Ismailia
5477,Hyundai,Accent,Sedan,Other Color,2009,Benzine,140000 to 159999,1600 CC,Automatic,200.0,Monufia
5478,Hyundai,Accent,Sedan,Silver,2015,Benzine,120000 to 139999,1600 CC,Automatic,185.0,Red Sea
5479,Hyundai,Accent,Sedan,Green,1994,Benzine,30000 to 39999,1400 - 1500 CC,Manual,50.0,Giza
5480,Hyundai,Accent,Sedan,Blue- Navy Blue,2012,Benzine,160000 to 179999,1600 CC,Automatic,185.0,Fayoum
5481,Hyundai,Accent,Sedan,Blue- Navy Blue,2009,Benzine,100000 to 119999,1600 CC,Manual,130.0,Alexandria
5482,Hyundai,Accent,Sedan,Blue- Navy Blue,2006,Benzine,10000 to 19999,1000 - 1300 CC,Manual,77.0,Kafr al-Sheikh
5483,Hyundai,Accent,Sedan,White,2006,Benzine,60000 to 69999,1400 - 1500 CC,Automatic,85.0,Qalyubia
5484,Hyundai,Accent,Sedan,Red,2015,Benzine,90000 to 99999,1600 CC,Automatic,245.0,Cairo
5485,Hyundai,Accent,Sedan,Black,2011,Benzine,120000 to 139999,1600 CC,Automatic,165.0,Cairo
5486,Hyundai,Accent,Sedan,Black,2011,Benzine,160000 to 179999,1600 CC,Automatic,145.0,Cairo
5487,Hyundai,Accent,Sedan,Blue- Navy Blue,2009,Benzine,10000 to 19999,1600 CC,Automatic,140.0,Fayoum
5488,Hyundai,Accent,Sedan,Gold,1998,Benzine,More than 200000,1400 - 1500 CC,Manual,50.0,Minya
5489,Hyundai,Accent,Sedan,White,2001,Natural Gas,10000 to 19999,1000 - 1300 CC,Manual,75.0,Port Said
5490,Hyundai,Accent,Sedan,Gray,2011,Benzine,90000 to 99999,1600 CC,Automatic,170.0,Cairo
5491,Hyundai,Accent,Sedan,Green,1999,Benzine,More than 200000,1000 - 1300 CC,Manual,58.0,Beni Suef
5492,Hyundai,Accent,Sedan,Other Color,2000,Benzine,More than 200000,1400 - 1500 CC,Manual,67.0,Cairo
5493,Hyundai,Accent,Sedan,Other Color,2011,Benzine,More than 200000,1600 CC,Automatic,145.0,Minya
5494,Hyundai,Accent,Sedan,Silver,2006,Benzine,20000 to 29999,1000 - 1300 CC,Manual,69.0,Damietta
5495,Hyundai,Accent,Sedan,Burgundy,2016,Benzine,60000 to 69999,1600 CC,Automatic,195.0,Cairo
5496,Hyundai,Accent,Sedan,Red,2008,Benzine,More than 200000,1600 CC,Manual,78.0,Giza
5497,Hyundai,Accent,Sedan,Burgundy,1998,Benzine,10000 to 19999,1400 - 1500 CC,Manual,65.0,Monufia
5498,Hyundai,Accent,Sedan,White,2015,Benzine,100000 to 119999,1600 CC,Automatic,230.0,Cairo
5499,Hyundai,Accent,Sedan,White,2001,Natural Gas,60000 to 69999,1400 - 1500 CC,Manual,60.0,Suez
5500,Hyundai,Accent,Sedan,White,2005,Natural Gas,90000 to 99999,1400 - 1500 CC,Manual,52.0,Suez
5501,Hyundai,Accent,Sedan,Other Color,2006,Benzine,0 to 9999,1000 - 1300 CC,Manual,90.0,Sharqia
5502,Hyundai,Accent,Sedan,Green,1999,Benzine,10000 to 19999,1000 - 1300 CC,Manual,60.0,Dakahlia
5503,Hyundai,Accent,Sedan,Silver,2012,Benzine,140000 to 159999,1600 CC,Automatic,173.0,Cairo
5504,Hyundai,Accent,Sedan,Silver,2000,Benzine,20000 to 29999,1000 - 1300 CC,Manual,62.0,Ismailia
5505,Hyundai,Accent,Sedan,Black,2011,Benzine,140000 to 159999,1600 CC,Manual,144.0,Cairo
5506,Hyundai,Accent,Sedan,Black,2012,Benzine,More than 200000,1600 CC,Manual,147.0,Alexandria
5507,Hyundai,Accent,Sedan,Silver,1998,Benzine,180000 to 199999,1400 - 1500 CC,Manual,75.0,Cairo
5508,Hyundai,Accent,Sedan,Blue- Navy Blue,2006,Benzine,More than 200000,1000 - 1300 CC,Manual,68.0,Dakahlia
5509,Hyundai,Accent,Sedan,Other Color,1999,Benzine,0 to 9999,1400 - 1500 CC,Manual,72.0,Giza
5510,Hyundai,Accent,Sedan,Other Color,1999,Benzine,More than 200000,1400 - 1500 CC,Manual,72.0,Kafr al-Sheikh
5511,Hyundai,Accent,Sedan,Other Color,2010,Benzine,0 to 9999,1600 CC,Manual,10.0,Qena
5512,Hyundai,Accent,Sedan,Other Color,2000,Natural Gas,0 to 9999,1000 - 1300 CC,Manual,40.0,Ismailia
5513,Hyundai,Accent,Sedan,Gold,2010,Benzine,180000 to 199999,1600 CC,Manual,140.0,Alexandria
5514,Hyundai,Accent,Sedan,Green,2006,Benzine,More than 200000,1400 - 1500 CC,Manual,65.0,Ismailia
5515,Hyundai,Accent,Sedan,Black,2011,Benzine,180000 to 199999,1600 CC,Manual,155.0,Cairo
5516,Hyundai,Accent,Sedan,Other Color,1996,Benzine,120000 to 139999,1400 - 1500 CC,Automatic,55.0,Port Said
5517,Hyundai,Accent,Sedan,Silver,2000,Benzine,10000 to 19999,1000 - 1300 CC,Manual,53.0,Monufia
5518,Hyundai,Accent,Sedan,White,2006,Benzine,0 to 9999,1400 - 1500 CC,Automatic,75.0,Giza
5519,Hyundai,Accent,Sedan,Other Color,2006,Benzine,More than 200000,1000 - 1300 CC,Manual,78.0,Red Sea
5520,Hyundai,Accent,Sedan,Other Color,2006,Benzine,30000 to 39999,1000 - 1300 CC,Manual,65.0,Fayoum
5521,Hyundai,Accent,Sedan,Gold,1999,Benzine,10000 to 19999,1000 - 1300 CC,Manual,73.0,Ismailia
