Brand,Model,Color,Fuel,Kilometers,Trasmission,Price,Gov,Car Age
Nissan,Sunny,Bronze,Benzine,6.0,Automatic,190.0,El Haram,7.0
Suzuki,Ciaz,Silver,Benzine,6.0,Automatic,600.0,Giza,2.0
Hyundai,Verna,Red,Benzine,14.0,Manual,175.0,Beheira,13.0
DFSK,330S,Black,Benzine,7.0,Manual,325.0,El Haram,1.0
Hyundai,Elantra HD,Silver,Benzine,6.0,Automatic,430.0,Shibin El Qanater,3.0
Haval,H6 GT,Black,Benzine,1.0,Automatic,1000.0,Cairo,1.0
Lada,2107,White,Benzine,0.0,Manual,48.0,Alexandria,20.0
Hyundai,Elantra MD,Silver,Benzine,8.0,Automatic,325.0,Obour City,11.0
Mini,Country man,Blue,Benzine,3.0,Automatic,1275.0,Cairo,3.0
Chevrolet,Aveo,Cyan,Benzine,15.0,Manual,155.0,Faiyum,14.0
Skoda,Felicia,Blue,Benzine,25.0,Manual,72.0,El Haram,28.0
Hyundai,Elantra HD,Bronze,Benzine,6.0,Automatic,580.0,Giza,1.0
Nissan,Sunny,Dark red,Benzine,16.0,Automatic,270.0,Abu Hummus,5.0
Skoda,Octavia A4,Silver,Benzine,18.0,Automatic,205.0,6 October,23.0
Hyundai,Verna,Silver,Benzine,10.0,Manual,250.0,Cairo,13.0
Renault,Megane,Dark blue,Benzine,16.0,Automatic,300.0,Kafr el-Sheikh,16.0
Nissan,Tiida,Black,Benzine,19.0,Automatic,305.0,Warraq,16.0
Foton,View,Red,Natural Gas,22.0,Manual,220.0,Alexandria,9.0
Mitsubishi,Lancer Puma,Silver,Benzine,24.0,Automatic,240.0,Alexandria,16.0
Chevrolet,Cruze,Light grey,Benzine,16.0,Automatic,325.0,Ashmoun,10.0
Mercedes,200,Beige,Benzine,0.0,Manual,78.0,El Minya,43.0
Fiat,Palio,Silver,Benzine,14.0,Manual,90.0,Beni Suef,16.0
Hyundai,Elantra HD,Light grey,Benzine,13.0,Automatic,395.0,Red Sea,6.0
Opel,Astra,Black,Benzine,14.0,Automatic,275.0,Maadi,15.0
Kia,Cerato,Silver,Benzine,11.0,Automatic,370.0,Faiyum,12.0
Fiat,128,White,Benzine,0.0,Manual,25.0,Beheira,42.0
Renault,Symbol,Gold,Benzine,23.0,Automatic,50.0,Cairo,14.0
