Brand,Model,Fuel,Car Age,Trasmission,Kilometers Group,Gov,Price,grouping
BMW,316,Benzine,27.0,Automatic,20.0,El Haram,220.0,BMW 316 Benzine Automatic 27.0 20.0
BMW,316,Benzine,27.0,Automatic,40.0,El Haram,220.0,BMW 316 Benzine Automatic 27.0 40.0
BMW,316,Benzine,28.0,Manual,20.0,Tagamo3 - New Cairo,170.0,BMW 316 Benzine Manual 28.0 20.0
BMW,316,Benzine,29.0,Manual,0.0,6 October,290.0,BMW 316 Benzine Manual 29.0 0.0
BMW,316,Benzine,30.0,Manual,15.0,Giza,150.0,BMW 316 Benzine Manual 30.0 15.0
BMW,316,Benzine,30.0,Manual,20.0,Damanhur,170.0,BMW 316 Benzine Manual 30.0 20.0
BMW,316,Benzine,31.0,Automatic,10.0,Cairo,150.0,BMW 316 Benzine Automatic 31.0 10.0
BMW,316,Benzine,31.0,Automatic,25.0,Alexandria,155.0,BMW 316 Benzine Automatic 31.0 25.0
BMW,316,Benzine,31.0,Manual,0.0,Mohandessin,195.0,BMW 316 Benzine Manual 31.0 0.0
BMW,316,Benzine,31.0,Manual,10.0,Cairo,180.0,BMW 316 Benzine Manual 31.0 10.0
BMW,316,Benzine,31.0,Manual,25.0,Nasr city,145.0,BMW 316 Benzine Manual 31.0 25.0
BMW,316,Benzine,32.0,Automatic,15.0,Sadat City,165.0,BMW 316 Benzine Automatic 32.0 15.0
BMW,316,Benzine,32.0,Manual,20.0,Cairo,150.0,BMW 316 Benzine Manual 32.0 20.0
BMW,316,Benzine,36.0,Manual,0.0,Hurghada,135.0,BMW 316 Benzine Manual 36.0 0.0
BMW,318,Benzine,4.0,Automatic,0.0,Tagamo3 - New Cairo,1300.0,BMW 318 Benzine Automatic 4.0 0.0
BMW,318,Benzine,4.0,Automatic,5.0,Tagamo3 - New Cairo,1250.0,BMW 318 Benzine Automatic 4.0 5.0
BMW,318,Benzine,4.0,Automatic,5.0,Zagazig,1250.0,BMW 318 Benzine Automatic 4.0 5.0
BMW,318,Benzine,4.0,Automatic,10.0,Heliopolis,895.0,BMW 318 Benzine Automatic 4.0 10.0
BMW,318,Benzine,5.0,Automatic,0.0,Cairo,1000.0,BMW 318 Benzine Automatic 5.0 0.0
BMW,318,Benzine,5.0,Automatic,0.0,Mohandessin,1200.0,BMW 318 Benzine Automatic 5.0 0.0
