Brand,Model,Body,Color,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new,Car Age
Hyundai,Accent,Sedan,Gray,Benzine,11,1.6,Automatic,161.4,Cairo,0,7
Hyundai,Accent,Sedan,Red,Benzine,2,1.2,Manual,68.0,Cairo,0,24
Hyundai,Accent,Sedan,Red,Benzine,15,1.2,Manual,57.0,Giza,0,23
Hyundai,Accent,Sedan,White,Benzine,2,1.2,Manual,45.0,Giza,0,24
Hyundai,Accent,Sedan,Gray,Benzine,13,1.2,Manual,97.0,Giza,0,17
Hyundai,Accent,Sedan,Gold,Benzine,1,1.5,Manual,60.0,Kafr al-Sheikh,0,19
Hyundai,Accent,Sedan,White,Benzine,9,1.6,Automatic,228.0,Cairo,0,8
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,15,1.5,Manual,70.0,Suez,0,23
Hyundai,Accent,Sedan,Other Color,Benzine,10,1.6,Manual,132.0,Cairo,0,16
Hyundai,Accent,Sedan,Silver,Benzine,15,1.5,Manual,55.0,Cairo,0,22
Hyundai,Accent,Sedan,Silver,Benzine,1,1.2,Manual,70.0,Cairo,0,24
Hyundai,Accent,Sedan,Green,Benzine,15,1.2,Manual,60.0,Cairo,0,23
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,11,1.2,Manual,78.0,Giza,0,17
Hyundai,Accent,Sedan,Gray,Benzine,13,1.2,Manual,75.0,Cairo,0,17
Hyundai,Accent,Sedan,Silver,Benzine,15,1.2,Manual,64.0,Sharqia,0,22
Hyundai,Accent,Sedan,Other Color,Benzine,13,1.6,Automatic,150.0,Minya,0,8
Hyundai,Accent,Sedan,Red,Benzine,12,1.6,Automatic,250.0,Giza,0,4
Hyundai,Accent,Sedan,Burgundy,Benzine,14,1.6,Manual,134.0,Cairo,0,13
Hyundai,Accent,Sedan,Burgundy,Benzine,9,1.5,Manual,70.0,Suez,0,25
Hyundai,Accent,Sedan,Burgundy,Benzine,12,1.5,Automatic,163.0,Cairo,0,13
Hyundai,Accent,Sedan,Other Color,Benzine,0,1.6,Automatic,330.0,Giza,0,2
Hyundai,Accent,Sedan,Other Color,Benzine,11,1.5,Manual,80.0,Sharqia,0,25
Hyundai,Accent,Sedan,Other Color,Benzine,10,1.2,Manual,75.0,Giza,0,25
Hyundai,Accent,Sedan,Red,Benzine,8,1.5,Manual,47.0,Minya,0,24
Hyundai,Accent,Sedan,White,Benzine,15,1.2,Manual,38.0,Dakahlia,0,22
