Brand,Model,Body,Color,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new,Car Age
Hyundai,Verna,,Blue,Benzine,20,2.5,Automatic,200.0,El Haram,1,15
Chevrolet,Optra,,Dark red,Benzine,2,2.5,Automatic,420.0,Shobra,1,2
Fiat,Tipo,,Petroleum,Benzine,3,2.5,Automatic,550.0,Mansoura,1,1
Hyundai,Accent RB,,Dark red,Benzine,15,2.5,Manual,235.0,Mohandessin,1,11
Chevrolet,Aveo,,Petroleum,Benzine,30,2.5,Automatic,250.0,6 October,1,6
Chevrolet,Optra,,Black,Benzine,0,2.5,Automatic,475.0,Gharbia,1,1
Hyundai,Tucson GDI,,Silver,Benzine,14,2.5,Automatic,700.0,Cairo,1,6
Fiat,Tipo,,Silver,Benzine,12,2.5,Automatic,480.0,6 October,1,2
Hyundai,Galloper,,Silver,Natural Gas,18,2.5,Manual,200.0,10th of Ramadan,1,22
Hyundai,Elantra AD,,White,Benzine,16,2.5,Automatic,500.0,Aswan,1,4
Chevrolet,Aveo,,Red,Benzine,10,2.5,Automatic,292.0,El Mahalla,1,3
Chevrolet,Optra,,Brown,Benzine,9,2.5,Automatic,380.0,Gharbia,1,2
Fiat,Tipo,,Dark blue,Benzine,2,2.5,Automatic,700.0,Cairo,1,1
Hyundai,Elantra,,Black,Benzine,22,2.5,Automatic,280.0,Damanhur,1,14
Fiat,128,,Red,Benzine,0,2.5,Manual,20.0,Cairo,1,38
Fiat,Tipo,,Mocha,Benzine,7,2.5,Automatic,460.0,Mansoura,1,3
Hyundai,Tucson GDI,,Blue,Benzine,14,2.5,Automatic,850.0,El Manial,1,4
Chevrolet,Aveo,,Black,Benzine,13,2.5,Manual,153.0,Kafr el-Sheikh,1,13
Fiat,Doblo,,White,Benzine,3,2.5,Manual,400.0,Cairo,1,2
Hyundai,Elantra,,Light grey,Benzine,13,2.5,Automatic,397.0,El Haram,1,14
Hyundai,Tucson,,Red,Benzine,2,2.5,Automatic,1250.0,6 October,1,2
Chevrolet,Spark,,Silver,Benzine,13,2.5,Manual,120.0,Madinaty,1,13
Hyundai,Verna,,Blue,Benzine,9,2.5,Manual,140.0,Shibin el Kom,1,15
Chevrolet,Optra,,Dark red,Benzine,4,2.5,Automatic,349.0,Tanta,1,3
Chevrolet,Lanos,,Gray,Benzine,12,2.5,Manual,180.0,Alexandria,1,9
Chevrolet,Optra,,Petroleum,Benzine,0,2.5,Automatic,425.0,Mansoura,1,1
Fiat,132,,Blue,Benzine,0,2.5,Manual,26.0,Heliopolis,1,45
Hyundai,Elantra HD,,Silver,Benzine,10,2.5,Automatic,375.0,6 October,1,6
Hyundai,Elantra AD,,Red,Benzine,2,2.5,Automatic,620.0,Giza,1,3
Fiat,Regata,,White,Benzine,0,2.5,Manual,50.0,El Minya,1,34
Chevrolet,Optra,,Red,Benzine,17,2.5,Automatic,225.0,Nasr city,1,14
Hyundai,Elantra,,Black,Benzine,30,2.5,Automatic,250.0,Damietta,1,16
Hyundai,Terracan,,Silver,Benzine,11,2.5,Automatic,475.0,Nasr city,1,18
Chevrolet,Optra,,Light grey,Benzine,8,2.5,Automatic,390.0,Sharqia,1,3
Hyundai,Excel,,Red,Benzine,0,2.5,Manual,60.0,Sohag,1,26
