Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new
Hyundai,Accent,Sedan,Blue- Navy Blue,2008.0,Benzine,90000 to 99999,1600 CC,Automatic,142.0,Minya,0
Hyundai,Accent,Sedan,Black,2011.0,Benzine,0 to 9999,1600 CC,Manual,145.0,Sharqia,0
Hyundai,Accent,Sedan,Gray,2010.0,Benzine,80000 to 89999,1600 CC,Manual,110.0,Ismailia,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2017.0,Benzine,120000 to 139999,1600 CC,Automatic,240.0,Cairo,0
Hyundai,Accent,Sedan,Silver,2004.0,Benzine,More than 200000,1000 - 1300 CC,Manual,70.0,Gharbia,0
Hyundai,Accent,Sedan,Red,2012.0,Benzine,140000 to 159999,1600 CC,Automatic,180.0,Giza,0
Hyundai,Accent,Sedan,Gray,1999.0,Benzine,180000 to 199999,1000 - 1300 CC,Manual,80.0,Asyut,0
Hyundai,Accent,Sedan,Gray,2008.0,Benzine,160000 to 179999,1600 CC,Manual,145.0,Cairo,0
Hyundai,Accent,Sedan,White,2006.0,Benzine,180000 to 199999,1000 - 1300 CC,Manual,60.0,Cairo,0
Hyundai,Accent,Sedan,Burgundy,1998.0,Benzine,20000 to 29999,1000 - 1300 CC,Manual,62.0,Giza,0
Hyundai,Accent,Sedan,Other Color,2008.0,Benzine,120000 to 139999,1600 CC,Manual,130.0,Qalyubia,0
Hyundai,Accent,Sedan,Other Color,2009.0,Benzine,140000 to 159999,1600 CC,Manual,143.0,Cairo,0
Hyundai,Accent,Sedan,Other Color,1998.0,Benzine,0 to 9999,1600 CC,Manual,45.0,Cairo,0
Hyundai,Accent,Sedan,Silver,2006.0,Benzine,20000 to 29999,1000 - 1300 CC,Manual,120.0,Cairo,0
Hyundai,Accent,Sedan,Other Color,1999.0,Benzine,10000 to 19999,1400 - 1500 CC,Manual,55.0,Ismailia,0
Hyundai,Accent,Sedan,Yellow,1998.0,Natural Gas,More than 200000,1400 - 1500 CC,Manual,48.0,Ismailia,0
Hyundai,Accent,Sedan,Gray,2021.0,Benzine,10000 to 19999,1600 CC,Automatic,316.0,Cairo,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2011.0,Benzine,30000 to 39999,1600 CC,Automatic,157.0,Cairo,0
Hyundai,Accent,Sedan,Burgundy,2003.0,Benzine,0 to 9999,1000 - 1300 CC,Manual,42.0,Giza,0
Hyundai,Accent,Sedan,White,1999.0,Benzine,140000 to 159999,1400 - 1500 CC,Manual,79.0,Giza,0
Hyundai,Accent,Sedan,Gray,2021.0,Benzine,70000 to 79999,1400 - 1500 CC,Automatic,300.0,Cairo,0
Hyundai,Accent,Sedan,White,1999.0,Benzine,180000 to 199999,1000 - 1300 CC,Manual,58.0,Ismailia,0
Hyundai,Accent,Sedan,Other Color,2009.0,Benzine,140000 to 159999,1600 CC,Automatic,200.0,Monufia,0
Hyundai,Accent,Sedan,Silver,2015.0,Benzine,120000 to 139999,1600 CC,Automatic,185.0,Red Sea,0
Hyundai,Accent,Sedan,Green,1994.0,Benzine,30000 to 39999,1400 - 1500 CC,Manual,50.0,Giza,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2012.0,Benzine,160000 to 179999,1600 CC,Automatic,185.0,Fayoum,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2009.0,Benzine,100000 to 119999,1600 CC,Manual,130.0,Alexandria,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2006.0,Benzine,10000 to 19999,1000 - 1300 CC,Manual,77.0,Kafr al-Sheikh,0
Hyundai,Accent,Sedan,White,2006.0,Benzine,60000 to 69999,1400 - 1500 CC,Automatic,85.0,Qalyubia,0
Hyundai,Accent,Sedan,Red,2015.0,Benzine,90000 to 99999,1600 CC,Automatic,245.0,Cairo,0
Hyundai,Accent,Sedan,Black,2011.0,Benzine,120000 to 139999,1600 CC,Automatic,165.0,Cairo,0
Hyundai,Accent,Sedan,Black,2011.0,Benzine,160000 to 179999,1600 CC,Automatic,145.0,Cairo,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2009.0,Benzine,10000 to 19999,1600 CC,Automatic,140.0,Fayoum,0
Hyundai,Accent,Sedan,Gold,1998.0,Benzine,More than 200000,1400 - 1500 CC,Manual,50.0,Minya,0
Hyundai,Accent,Sedan,White,2001.0,Natural Gas,10000 to 19999,1000 - 1300 CC,Manual,75.0,Port Said,0
Hyundai,Accent,Sedan,Gray,2011.0,Benzine,90000 to 99999,1600 CC,Automatic,170.0,Cairo,0
Hyundai,Accent,Sedan,Green,1999.0,Benzine,More than 200000,1000 - 1300 CC,Manual,58.0,Beni Suef,0
Hyundai,Accent,Sedan,Other Color,2000.0,Benzine,More than 200000,1400 - 1500 CC,Manual,67.0,Cairo,0
Hyundai,Accent,Sedan,Other Color,2011.0,Benzine,More than 200000,1600 CC,Automatic,145.0,Minya,0
Hyundai,Accent,Sedan,Silver,2006.0,Benzine,20000 to 29999,1000 - 1300 CC,Manual,69.0,Damietta,0
Hyundai,Accent,Sedan,Burgundy,2016.0,Benzine,60000 to 69999,1600 CC,Automatic,195.0,Cairo,0
Hyundai,Accent,Sedan,Red,2008.0,Benzine,More than 200000,1600 CC,Manual,78.0,Giza,0
Hyundai,Accent,Sedan,Burgundy,1998.0,Benzine,10000 to 19999,1400 - 1500 CC,Manual,65.0,Monufia,0
Hyundai,Accent,Sedan,White,2015.0,Benzine,100000 to 119999,1600 CC,Automatic,230.0,Cairo,0
Hyundai,Accent,Sedan,White,2001.0,Natural Gas,60000 to 69999,1400 - 1500 CC,Manual,60.0,Suez,0
Hyundai,Accent,Sedan,White,2005.0,Natural Gas,90000 to 99999,1400 - 1500 CC,Manual,52.0,Suez,0
Hyundai,Accent,Sedan,Other Color,2006.0,Benzine,0 to 9999,1000 - 1300 CC,Manual,90.0,Sharqia,0
Hyundai,Accent,Sedan,Green,1999.0,Benzine,10000 to 19999,1000 - 1300 CC,Manual,60.0,Dakahlia,0
Hyundai,Accent,Sedan,Silver,2012.0,Benzine,140000 to 159999,1600 CC,Automatic,173.0,Cairo,0
Hyundai,Accent,Sedan,Silver,2000.0,Benzine,20000 to 29999,1000 - 1300 CC,Manual,62.0,Ismailia,0
Hyundai,Accent,Sedan,Black,2011.0,Benzine,140000 to 159999,1600 CC,Manual,144.0,Cairo,0
Hyundai,Accent,Sedan,Black,2012.0,Benzine,More than 200000,1600 CC,Manual,147.0,Alexandria,0
Hyundai,Accent,Sedan,Silver,1998.0,Benzine,180000 to 199999,1400 - 1500 CC,Manual,75.0,Cairo,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2006.0,Benzine,More than 200000,1000 - 1300 CC,Manual,68.0,Dakahlia,0
Hyundai,Accent,Sedan,Other Color,1999.0,Benzine,0 to 9999,1400 - 1500 CC,Manual,72.0,Giza,0
Hyundai,Accent,Sedan,Other Color,1999.0,Benzine,More than 200000,1400 - 1500 CC,Manual,72.0,Kafr al-Sheikh,0
Hyundai,Accent,Sedan,Other Color,2010.0,Benzine,0 to 9999,1600 CC,Manual,10.0,Qena,0
Hyundai,Accent,Sedan,Other Color,2000.0,Natural Gas,0 to 9999,1000 - 1300 CC,Manual,40.0,Ismailia,0
Hyundai,Accent,Sedan,Gold,2010.0,Benzine,180000 to 199999,1600 CC,Manual,140.0,Alexandria,0
Hyundai,Accent,Sedan,Green,2006.0,Benzine,More than 200000,1400 - 1500 CC,Manual,65.0,Ismailia,0
Hyundai,Accent,Sedan,Black,2011.0,Benzine,180000 to 199999,1600 CC,Manual,155.0,Cairo,0
Hyundai,Accent,Sedan,Other Color,1996.0,Benzine,120000 to 139999,1400 - 1500 CC,Automatic,55.0,Port Said,0
Hyundai,Accent,Sedan,Silver,2000.0,Benzine,10000 to 19999,1000 - 1300 CC,Manual,53.0,Monufia,0
Hyundai,Accent,Sedan,White,2006.0,Benzine,0 to 9999,1400 - 1500 CC,Automatic,75.0,Giza,0
Hyundai,Accent,Sedan,Other Color,2006.0,Benzine,More than 200000,1000 - 1300 CC,Manual,78.0,Red Sea,0
Hyundai,Accent,Sedan,Other Color,2006.0,Benzine,30000 to 39999,1000 - 1300 CC,Manual,65.0,Fayoum,0
Hyundai,Accent,Sedan,Gold,1999.0,Benzine,10000 to 19999,1000 - 1300 CC,Manual,73.0,Ismailia,0
Hyundai,Accent,Sedan,Brown,2015.0,Benzine,160000 to 179999,1600 CC,Automatic,200.0,Qalyubia,0
Hyundai,Accent,Sedan,Red,2021.0,Benzine,10000 to 19999,1600 CC,Automatic,295.0,Minya,0
Hyundai,Accent,Sedan,Other Color,2000.0,Benzine,10000 to 19999,1600 CC,Manual,72.0,Dakahlia,0
